event_type,broadcast_id,status_code,error_preview
opens,18348047,500,"{""error"":""Internal Server Error""}"
opens,18358659,500,"{""error"":""Internal Server Error""}"
opens,18364843,500,"{""error"":""Internal Server Error""}"
opens,18358684,500,"{""error"":""Internal Server Error""}"
opens,18503611,500,"{""error"":""Internal Server Error""}"
clicks,18358684,500,"{""error"":""Internal Server Error""}"
opens,18624740,500,"{""error"":""Internal Server Error""}"
opens,18861859,500,"{""error"":""Internal Server Error""}"
opens,18881080,500,"{""error"":""Internal Server Error""}"
opens,18907140,500,"{""error"":""Internal Server Error""}"
clicks,18907140,500,"{""error"":""Internal Server Error""}"
opens,19010267,500,"{""error"":""Internal Server Error""}"
opens,19021920,500,"{""error"":""Internal Server Error""}"
opens,19127760,500,"{""error"":""Internal Server Error""}"
opens,19139917,500,"{""error"":""Internal Server Error""}"
opens,19140024,500,"{""error"":""Internal Server Error""}"
opens,19148757,500,"{""error"":""Internal Server Error""}"
opens,19151050,500,"{""error"":""Internal Server Error""}"
opens,19192753,500,"{""error"":""Internal Server Error""}"
opens,19178556,500,"{""error"":""Internal Server Error""}"
opens,19207910,500,"{""error"":""Internal Server Error""}"
opens,19250428,500,"{""error"":""Internal Server Error""}"
clicks,19139917,500,"{""error"":""Internal Server Error""}"
clicks,19140024,500,"{""error"":""Internal Server Error""}"
clicks,19250428,500,"{""error"":""Internal Server Error""}"
opens,19430753,500,"{""error"":""Internal Server Error""}"
opens,19599973,500,"{""error"":""Internal Server Error""}"
clicks,19599973,500,"{""error"":""Internal Server Error""}"
clicks,20398985,500,"{""error"":""Internal Server Error""}"
