month,month_dt,group,broadcasts_matched,eligible_n,open_n,click_n,open_rate,ctor
2025-02,2025-02-01,Buyer,12,65,0,1,0.0,
2025-02,2025-02-01,Non-buyer,12,5968,26,18,0.435656836461126,69.23076923076923
2025-03,2025-03-01,Buyer,8,97,0,0,0.0,
2025-03,2025-03-01,Non-buyer,8,7758,30,5,0.3866976024748647,16.666666666666664
2025-04,2025-04-01,Buyer,25,141,2,5,1.4184397163120568,250.0
2025-04,2025-04-01,Non-buyer,25,9097,18,36,0.1978674288226888,200.0
2025-05,2025-05-01,Buyer,2,162,0,2,0.0,
2025-05,2025-05-01,Non-buyer,2,10299,0,15,0.0,
2025-06,2025-06-01,Buyer,4,215,181,54,84.18604651162791,29.83425414364641
2025-06,2025-06-01,Non-buyer,4,11632,6744,768,57.97799174690509,11.387900355871885
2025-07,2025-07-01,Buyer,20,274,259,182,94.52554744525547,70.27027027027027
2025-07,2025-07-01,Non-buyer,20,12901,7443,2385,57.69320207735834,32.04353083434099
2025-08,2025-08-01,Buyer,16,333,269,85,80.78078078078079,31.59851301115242
2025-08,2025-08-01,Non-buyer,16,14467,6207,209,42.90454137001451,3.3671661027871758
2025-09,2025-09-01,Buyer,29,366,348,236,95.08196721311475,67.81609195402298
2025-09,2025-09-01,Non-buyer,29,15328,10625,2652,69.31758872651356,24.959999999999997
2025-10,2025-10-01,Buyer,39,395,369,276,93.41772151898734,74.79674796747967
2025-10,2025-10-01,Non-buyer,39,16161,11107,2941,68.72718272384135,26.47879715494733
2025-11,2025-11-01,Buyer,26,402,348,83,86.56716417910447,23.850574712643677
2025-11,2025-11-01,Non-buyer,26,16746,10011,1962,59.781440343962736,19.598441714114472
2025-12,2025-12-01,Buyer,9,418,341,149,81.57894736842105,43.6950146627566
2025-12,2025-12-01,Non-buyer,9,17639,8386,1580,47.54237768580985,18.84092535177677
2026-01,2026-01-01,Buyer,2,433,329,66,75.98152424942263,20.060790273556233
2026-01,2026-01-01,Non-buyer,2,18704,9512,930,50.85543199315654,9.7771236333053
2026-02,2026-02-01,Buyer,7,462,362,152,78.35497835497836,41.988950276243095
2026-02,2026-02-01,Non-buyer,7,19612,10487,1998,53.472363858861925,19.05215981691618
