broadcast_id,date,month,category,subject,recipients_local,opens_filter_status,clicks_filter_status,opens_filter_error_preview,clicks_filter_error_preview,still_failing_now
18348047,2025-02-14,2025-02,Value,My 3 biggest AI predictions for 2025:,7598,500,200,"{""error"":""Internal Server Error""}",,True
18358659,2025-02-15,2025-02,Value,AI Agents Crash Course going LIVE today,7573,500,200,"{""error"":""Internal Server Error""}",,True
18358684,2025-02-16,2025-02,Value,Going live now!,7534,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
18364843,2025-02-16,2025-02,Value,Workshop recording and slides:,7704,500,200,"{""error"":""Internal Server Error""}",,True
18503611,2025-02-28,2025-02,Value,Are AI agents worth the hype?,7218,500,200,"{""error"":""Internal Server Error""}",,True
18624740,2025-03-08,2025-03,Value,I’ve got a some questions for you {{ subscriber.first_name }},9304,500,200,"{""error"":""Internal Server Error""}",,True
18861859,2025-03-27,2025-03,Value,How to choose the best LLM,9152,500,200,"{""error"":""Internal Server Error""}",,True
18881080,2025-03-29,2025-03,Value,Free AI workshop going LIVE today,10564,500,200,"{""error"":""Internal Server Error""}",,True
18907140,2025-03-31,2025-03,Value,LLM workshop recording and slides,10640,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
19010267,2025-04-08,2025-04,Value,Leaked AI memo from Shopify CEO,9722,500,200,"{""error"":""Internal Server Error""}",,True
19021920,2025-04-10,2025-04,Value,How to code using AI,10937,500,200,"{""error"":""Internal Server Error""}",,True
19127760,2025-04-17,2025-04,Value,How to build AI agents,11215,500,200,"{""error"":""Internal Server Error""}",,True
19139917,2025-04-18,2025-04,Value,The top 3 mistakes people make building AI agents,1345,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
19140024,2025-04-19,2025-04,Value,Building AI Agents workshop going LIVE today,11272,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
19148757,2025-04-19,2025-04,Value,Oops,9710,500,200,"{""error"":""Internal Server Error""}",,True
19151050,2025-04-19,2025-04,Value,🐙 Livestream Delayed By 24 Hours,11254,500,200,"{""error"":""Internal Server Error""}",,True
19178556,2025-04-22,2025-04,Sales,Why I’m launching the AI Agent Bootcamp,9452,500,200,"{""error"":""Internal Server Error""}",,True
19192753,2025-04-23,2025-04,Value,Here’s what’s happening tomorrow...,9495,500,200,"{""error"":""Internal Server Error""}",,True
19207910,2025-04-24,2025-04,Value,I have bad news,11697,500,200,"{""error"":""Internal Server Error""}",,True
19250428,2025-04-28,2025-04,Value,You’ve blown me away!,11861,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
19430753,2025-05-13,2025-05,Value,My take on Fiverr CEO’s shocking AI email,12308,500,200,"{""error"":""Internal Server Error""}",,True
19599973,2025-05-26,2025-05,Value,Livestream recording and slides,6226,500,500,"{""error"":""Internal Server Error""}","{""error"":""Internal Server Error""}",True
